nombre,latitud,longitud
Buenos Aires,-34.6037,-58.3816
Ciudad Autónoma de Buenos Aires,-34.6158,-58.4333
Catamarca,-28.4696,-65.7795
Chaco,-26.6021,-59.3087
Chubut,-43.6848,-68.2714
Córdoba,-31.4167,-64.1833
Corrientes,-27.4692,-58.8309
Entre Ríos,-31.7642,-60.5247
Formosa,-26.1844,-58.1759
Jujuy,-24.1858,-65.2995
La Pampa,-36.6167,-64.2833
La Rioja,-29.4131,-66.8558
Mendoza,-32.8908,-68.8272
Misiones,-27.3621,-55.9007
Neuquén,-38.9516,-68.0591
Río Negro,-40.8135,-62.9967
Salta,-24.7829,-65.4232
San Juan,-31.5375,-68.5364
San Luis,-33.3335,-66.3499
Santa Cruz,-51.6236,-69.2169
Santa Fe,-31.6333,-60.7
Santiago del Estero,-27.784,-64.2665
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",-54.8019,-68.302
Tucumán,-26.808,-65.2176
